응답자 ID,train 선호,train 비선호,valid 선호,valid 비선호
64747,"W_03194_50_classic_W.jpg, W_04972_90_kitsch_W.jpg, W_05628_00_cityglam_W.jpg, W_07894_00_cityglam_W.jpg, W_14901_90_kitsch_W.jpg, W_20598_70_military_W.jpg, W_21223_80_powersuit_W.jpg, W_21483_19_genderless_W.jpg, W_22057_19_genderless_W.jpg, W_22510_80_powersuit_W.jpg, W_29783_10_sportivecasual_W.jpg, W_30399_19_genderless_W.jpg, W_30434_60_minimal_W.jpg, W_30454_60_minimal_W.jpg, W_31416_70_hippie_W.jpg, W_34636_00_oriental_W.jpg, W_35674_60_minimal_W.jpg, W_37160_70_punk_W.jpg, W_38421_10_athleisure_W.jpg, W_38629_80_powersuit_W.jpg, W_39725_19_normcore_W.jpg, W_44330_10_sportivecasual_W.jpg, W_46907_80_powersuit_W.jpg, W_48628_19_genderless_W.jpg","W_02247_50_classic_W.jpg, W_02498_50_feminine_W.jpg, W_03643_00_cityglam_W.jpg, W_11610_90_grunge_W.jpg, W_13904_50_feminine_W.jpg, W_14102_50_feminine_W.jpg, W_18951_50_feminine_W.jpg, W_27828_60_minimal_W.jpg, W_33026_90_hiphop_W.jpg, W_34024_10_sportivecasual_W.jpg, W_34573_10_sportivecasual_W.jpg, W_36644_00_oriental_W.jpg, W_37025_19_lounge_W.jpg, W_38771_10_sportivecasual_W.jpg, W_40690_80_bodyconscious_W.jpg, W_40876_70_punk_W.jpg, W_41633_60_space_W.jpg, W_42595_60_popart_W.jpg, W_44386_80_powersuit_W.jpg, W_47169_70_hippie_W.jpg, W_48378_90_grunge_W.jpg","W_05628_00_cityglam_W.jpg, W_20598_70_military_W.jpg, W_22510_80_powersuit_W.jpg, W_30988_90_kitsch_W.jpg, W_37491_70_military_W.jpg, W_38588_19_genderless_W.jpg, W_39164_00_oriental_W.jpg, W_44330_10_sportivecasual_W.jpg, W_46907_80_powersuit_W.jpg","W_02498_50_feminine_W.jpg, W_11610_90_grunge_W.jpg, W_14102_50_feminine_W.jpg, W_27828_60_minimal_W.jpg, W_34024_10_sportivecasual_W.jpg, W_47169_70_hippie_W.jpg"
63405,"W_00023_60_mods_M.jpg, W_00555_50_ivy_M.jpg, W_01670_10_sportivecasual_M.jpg, W_01853_60_mods_M.jpg, W_02890_19_normcore_M.jpg, W_02931_00_metrosexual_M.jpg, W_04206_60_mods_M.jpg, W_04522_50_ivy_M.jpg, W_04684_90_hiphop_M.jpg, W_06682_00_metrosexual_M.jpg, W_06785_50_ivy_M.jpg, W_06812_50_ivy_M.jpg, W_07021_90_hiphop_M.jpg, W_07198_10_sportivecasual_M.jpg, W_12551_19_normcore_M.jpg, W_12814_19_normcore_M.jpg, W_15294_50_ivy_M.jpg, W_15400_60_mods_M.jpg, W_16084_80_bold_M.jpg, W_17510_19_normcore_M.jpg, W_17849_00_metrosexual_M.jpg, W_17909_60_mods_M.jpg","W_00530_10_sportivecasual_M.jpg, W_02714_00_metrosexual_M.jpg, W_06691_10_sportivecasual_M.jpg, W_12383_80_bold_M.jpg, W_12443_90_hiphop_M.jpg, W_12456_10_sportivecasual_M.jpg, W_12904_50_ivy_M.jpg, W_15134_80_bold_M.jpg, W_15140_80_bold_M.jpg, W_15471_10_sportivecasual_M.jpg, W_15472_70_hippie_M.jpg, W_15517_70_hippie_M.jpg, W_15782_70_hippie_M.jpg, W_16501_70_hippie_M.jpg, W_16736_00_metrosexual_M.jpg, W_16755_00_metrosexual_M.jpg, W_16919_19_normcore_M.jpg, W_17108_19_normcore_M.jpg, W_17219_70_hippie_M.jpg, W_17443_90_hiphop_M.jpg, W_17454_80_bold_M.jpg, W_17599_19_normcore_M.jpg","W_01853_60_mods_M.jpg, W_02677_60_mods_M.jpg, W_02879_90_hiphop_M.jpg, W_04522_50_ivy_M.jpg, W_04684_90_hiphop_M.jpg, W_06860_19_normcore_M.jpg, W_15294_50_ivy_M.jpg","W_07187_70_hippie_M.jpg, W_12304_80_bold_M.jpg, W_12904_50_ivy_M.jpg, W_15140_80_bold_M.jpg, W_16501_70_hippie_M.jpg, W_16755_00_metrosexual_M.jpg, W_17443_90_hiphop_M.jpg"
64346,"W_00047_70_hippie_M.jpg, W_00856_10_sportivecasual_M.jpg, W_02754_70_hippie_M.jpg, W_09154_50_ivy_M.jpg, W_09233_60_mods_M.jpg, W_09239_19_normcore_M.jpg, W_09289_19_normcore_M.jpg, W_09856_10_sportivecasual_M.jpg, W_12155_80_bold_M.jpg, W_12527_70_hippie_M.jpg, W_16233_80_bold_M.jpg, W_16777_60_mods_M.jpg, W_21401_00_metrosexual_M.jpg, W_23905_60_mods_M.jpg, W_23920_19_normcore_M.jpg, W_23922_50_ivy_M.jpg, W_24103_50_ivy_M.jpg, W_24268_00_metrosexual_M.jpg, W_24874_80_bold_M.jpg, W_24977_70_hippie_M.jpg, W_26175_50_ivy_M.jpg, W_28693_10_sportivecasual_M.jpg, W_29918_19_normcore_M.jpg, W_29990_90_hiphop_M.jpg, W_30040_60_mods_M.jpg, W_49510_00_metrosexual_M.jpg","W_02678_50_ivy_M.jpg, W_07112_90_hiphop_M.jpg, W_12268_80_bold_M.jpg, W_15769_00_metrosexual_M.jpg, W_16121_80_bold_M.jpg, W_16390_10_sportivecasual_M.jpg, W_16822_19_normcore_M.jpg, W_17172_19_normcore_M.jpg, W_24243_70_hippie_M.jpg, W_24250_90_hiphop_M.jpg, W_24832_80_bold_M.jpg, W_24838_70_hippie_M.jpg, W_24931_50_ivy_M.jpg, W_25065_10_sportivecasual_M.jpg, W_25391_00_metrosexual_M.jpg, W_25543_60_mods_M.jpg, W_25721_90_hiphop_M.jpg, W_25828_10_sportivecasual_M.jpg, W_28908_90_hiphop_M.jpg, W_33015_19_normcore_M.jpg","W_07316_00_metrosexual_M.jpg, W_09154_50_ivy_M.jpg, W_24103_50_ivy_M.jpg, W_29918_19_normcore_M.jpg, W_29990_90_hiphop_M.jpg","W_00496_60_mods_M.jpg, W_16121_80_bold_M.jpg, W_16430_90_hiphop_M.jpg, W_24250_90_hiphop_M.jpg, W_24838_70_hippie_M.jpg, W_24931_50_ivy_M.jpg, W_26099_19_normcore_M.jpg"
65139,"W_06684_60_mods_M.jpg, W_15891_80_bold_M.jpg, W_16523_19_normcore_M.jpg, W_63644_10_sportivecasual_M.jpg, W_64254_19_normcore_M.jpg, W_65268_90_hiphop_M.jpg","W_01898_19_normcore_M.jpg, W_06259_50_ivy_M.jpg, W_15618_70_hippie_M.jpg, W_16063_80_bold_M.jpg, W_17098_19_normcore_M.jpg, W_17601_70_hippie_M.jpg, W_24151_60_mods_M.jpg, W_24217_70_hippie_M.jpg, W_24432_60_mods_M.jpg, W_24517_70_hippie_M.jpg, W_24629_00_metrosexual_M.jpg, W_24717_60_mods_M.jpg, W_24968_60_mods_M.jpg, W_25400_19_normcore_M.jpg, W_26315_19_normcore_M.jpg, W_27138_60_mods_M.jpg, W_28911_10_sportivecasual_M.jpg, W_31913_90_hiphop_M.jpg, W_32565_19_normcore_M.jpg, W_50824_50_ivy_M.jpg, W_51074_00_metrosexual_M.jpg, W_51514_50_ivy_M.jpg, W_51917_00_metrosexual_M.jpg, W_52149_70_hippie_M.jpg, W_52693_00_metrosexual_M.jpg, W_53601_80_bold_M.jpg, W_54465_80_bold_M.jpg, W_54621_80_bold_M.jpg, W_55196_10_sportivecasual_M.jpg, W_56131_90_hiphop_M.jpg, W_57822_90_hiphop_M.jpg, W_57959_10_sportivecasual_M.jpg, W_58793_00_metrosexual_M.jpg, W_58842_70_hippie_M.jpg, W_58911_00_metrosexual_M.jpg, W_62525_90_hiphop_M.jpg, W_62887_10_sportivecasual_M.jpg, W_64955_50_ivy_M.jpg, W_65792_80_bold_M.jpg, W_66114_50_ivy_M.jpg",W_63644_10_sportivecasual_M.jpg,"W_24517_70_hippie_M.jpg, W_24717_60_mods_M.jpg, W_27138_60_mods_M.jpg, W_28314_10_sportivecasual_M.jpg, W_29942_50_ivy_M.jpg, W_31913_90_hiphop_M.jpg, W_51514_50_ivy_M.jpg, W_52693_00_metrosexual_M.jpg, W_54129_19_normcore_M.jpg, W_54465_80_bold_M.jpg, W_58793_00_metrosexual_M.jpg"
64561,"W_06046_10_sportivecasual_W.jpg, W_18066_50_classic_W.jpg, W_18205_50_feminine_W.jpg, W_18759_50_feminine_W.jpg, W_20369_90_lingerie_W.jpg, W_22239_60_space_W.jpg, W_28013_19_normcore_W.jpg, W_30671_70_hippie_W.jpg, W_31157_00_cityglam_W.jpg, W_34340_80_bodyconscious_W.jpg, W_34974_60_minimal_W.jpg, W_35091_80_powersuit_W.jpg, W_36584_90_kitsch_W.jpg, W_36601_19_normcore_W.jpg, W_36907_19_genderless_W.jpg, W_37270_00_cityglam_W.jpg, W_38656_10_sportivecasual_W.jpg, W_41732_00_cityglam_W.jpg, W_42314_70_hippie_W.jpg, W_43737_80_powersuit_W.jpg, W_45035_10_sportivecasual_W.jpg, W_49853_00_oriental_W.jpg","W_02232_70_hippie_W.jpg, W_08584_50_feminine_W.jpg, W_12032_50_feminine_W.jpg, W_13444_50_classic_W.jpg, W_19238_90_grunge_W.jpg, W_20944_80_powersuit_W.jpg, W_22943_10_athleisure_W.jpg, W_23519_60_minimal_W.jpg, W_26910_19_normcore_W.jpg, W_26946_19_lounge_W.jpg, W_27343_90_lingerie_W.jpg, W_30044_00_ecology_W.jpg, W_32248_80_powersuit_W.jpg, W_32870_90_hiphop_W.jpg, W_32939_70_military_W.jpg, W_33622_60_minimal_W.jpg, W_34989_90_hiphop_W.jpg, W_38012_19_normcore_W.jpg, W_41177_10_sportivecasual_W.jpg, W_41279_19_genderless_W.jpg, W_42868_10_sportivecasual_W.jpg, W_46417_70_military_W.jpg, W_48741_00_cityglam_W.jpg, W_49287_70_punk_W.jpg","W_06046_10_sportivecasual_W.jpg, W_18205_50_feminine_W.jpg, W_22239_60_space_W.jpg, W_30671_70_hippie_W.jpg, W_33305_60_space_W.jpg, W_35091_80_powersuit_W.jpg, W_38656_10_sportivecasual_W.jpg, W_41448_10_sportivecasual_W.jpg","W_22943_10_athleisure_W.jpg, W_23519_60_minimal_W.jpg, W_33240_80_bodyconscious_W.jpg, W_48457_60_minimal_W.jpg"
66513,"T_05088_19_normcore_W.jpg, T_07416_19_lounge_W.jpg, W_02244_60_space_W.jpg, W_13734_50_feminine_W.jpg, W_14828_50_classic_W.jpg, W_14940_60_minimal_W.jpg, W_19031_50_classic_W.jpg, W_35544_60_minimal_W.jpg, W_36856_60_minimal_W.jpg, W_40361_90_kitsch_W.jpg, W_44554_90_grunge_W.jpg, W_50265_19_normcore_W.jpg, W_60484_10_sportivecasual_W.jpg, W_60789_90_lingerie_W.jpg, W_63984_80_powersuit_W.jpg, W_64791_90_hiphop_W.jpg, W_67405_19_normcore_W.jpg","T_08306_10_sportivecasual_W.jpg, T_08918_19_normcore_W.jpg, T_09557_00_ecology_W.jpg, T_09905_10_athleisure_W.jpg, W_03086_60_minimal_W.jpg, W_10984_50_feminine_W.jpg, W_21162_60_minimal_W.jpg, W_21565_70_disco_W.jpg, W_22368_70_disco_W.jpg, W_34173_19_normcore_W.jpg, W_37404_60_space_W.jpg, W_38863_60_minimal_W.jpg, W_39793_80_powersuit_W.jpg, W_40860_70_punk_W.jpg, W_42722_80_powersuit_W.jpg, W_43040_70_punk_W.jpg, W_45743_70_punk_W.jpg, W_47643_80_powersuit_W.jpg, W_50288_10_sportivecasual_W.jpg, W_53112_90_lingerie_W.jpg, W_56037_00_oriental_W.jpg, W_56334_10_sportivecasual_W.jpg, W_60553_00_cityglam_W.jpg, W_61163_80_powersuit_W.jpg, W_61279_00_ecology_W.jpg, W_61887_80_powersuit_W.jpg, W_66723_00_ecology_W.jpg, W_66976_00_ecology_W.jpg, W_67337_90_grunge_W.jpg, W_68199_10_sportivecasual_W.jpg",W_14828_50_classic_W.jpg,"T_06910_50_classic_W.jpg, W_10984_50_feminine_W.jpg, W_14914_50_feminine_W.jpg, W_37404_60_space_W.jpg, W_39793_80_powersuit_W.jpg, W_44520_70_punk_W.jpg, W_53112_90_lingerie_W.jpg, W_56334_10_sportivecasual_W.jpg, W_60553_00_cityglam_W.jpg"
59704,"W_00489_60_mods_M.jpg, W_00803_50_ivy_M.jpg, W_01549_50_ivy_M.jpg, W_01571_10_sportivecasual_M.jpg, W_01576_19_normcore_M.jpg, W_01853_60_mods_M.jpg, W_02728_60_mods_M.jpg, W_04335_19_normcore_M.jpg, W_04555_00_metrosexual_M.jpg, W_04636_50_ivy_M.jpg, W_06558_60_mods_M.jpg, W_06709_19_normcore_M.jpg, W_07211_00_metrosexual_M.jpg, W_10058_60_mods_M.jpg, W_10071_80_bold_M.jpg, W_12092_80_bold_M.jpg, W_12170_80_bold_M.jpg, W_16219_70_hippie_M.jpg, W_17303_70_hippie_M.jpg","W_00026_10_sportivecasual_M.jpg, W_00517_70_hippie_M.jpg, W_04398_19_normcore_M.jpg, W_04475_19_normcore_M.jpg, W_04482_10_sportivecasual_M.jpg, W_04573_10_sportivecasual_M.jpg, W_04745_90_hiphop_M.jpg, W_06926_90_hiphop_M.jpg, W_11141_19_normcore_M.jpg, W_12476_90_hiphop_M.jpg, W_12581_70_hippie_M.jpg, W_12658_00_metrosexual_M.jpg, W_12821_50_ivy_M.jpg, W_12881_90_hiphop_M.jpg, W_15120_60_mods_M.jpg, W_15593_70_hippie_M.jpg, W_15595_00_metrosexual_M.jpg, W_15732_00_metrosexual_M.jpg, W_15815_70_hippie_M.jpg, W_16397_10_sportivecasual_M.jpg, W_16676_90_hiphop_M.jpg, W_16694_00_metrosexual_M.jpg, W_17017_10_sportivecasual_M.jpg, W_17418_19_normcore_M.jpg, W_17543_80_bold_M.jpg, W_17741_80_bold_M.jpg","W_01549_50_ivy_M.jpg, W_01853_60_mods_M.jpg, W_02728_60_mods_M.jpg, W_04636_50_ivy_M.jpg, W_12092_80_bold_M.jpg, W_15244_80_bold_M.jpg, W_16219_70_hippie_M.jpg","W_06875_90_hiphop_M.jpg, W_12476_90_hiphop_M.jpg, W_15120_60_mods_M.jpg, W_17697_50_ivy_M.jpg, W_19833_50_ivy_M.jpg"
64633,"W_00031_50_ivy_M.jpg, W_02888_10_sportivecasual_M.jpg, W_12817_50_ivy_M.jpg, W_15182_10_sportivecasual_M.jpg, W_15820_70_hippie_M.jpg, W_16906_10_sportivecasual_M.jpg, W_17311_60_mods_M.jpg, W_23916_19_normcore_M.jpg, W_25097_10_sportivecasual_M.jpg, W_25518_60_mods_M.jpg, W_25949_19_normcore_M.jpg, W_28133_10_sportivecasual_M.jpg, W_29258_80_bold_M.jpg, W_30403_60_mods_M.jpg, W_31604_00_metrosexual_M.jpg, W_31914_19_normcore_M.jpg, W_32083_50_ivy_M.jpg, W_32384_00_metrosexual_M.jpg, W_33251_19_normcore_M.jpg, W_34004_80_bold_M.jpg","W_12663_10_sportivecasual_M.jpg, W_15631_80_bold_M.jpg, W_17414_70_hippie_M.jpg, W_17499_70_hippie_M.jpg, W_20317_60_mods_M.jpg, W_24216_19_normcore_M.jpg, W_24758_50_ivy_M.jpg, W_24816_80_bold_M.jpg, W_24827_80_bold_M.jpg, W_24938_60_mods_M.jpg, W_24982_90_hiphop_M.jpg, W_25106_00_metrosexual_M.jpg, W_25285_90_hiphop_M.jpg, W_25421_90_hiphop_M.jpg, W_25698_00_metrosexual_M.jpg, W_26387_90_hiphop_M.jpg, W_27033_80_bold_M.jpg, W_27903_50_ivy_M.jpg, W_28726_19_normcore_M.jpg, W_31434_19_normcore_M.jpg, W_31694_90_hiphop_M.jpg, W_31925_00_metrosexual_M.jpg, W_32756_00_metrosexual_M.jpg","W_06797_70_hippie_M.jpg, W_12817_50_ivy_M.jpg, W_16690_60_mods_M.jpg, W_16906_10_sportivecasual_M.jpg, W_29258_80_bold_M.jpg, W_30403_60_mods_M.jpg, W_34004_80_bold_M.jpg","W_17058_19_normcore_M.jpg, W_17414_70_hippie_M.jpg, W_24758_50_ivy_M.jpg, W_26393_50_ivy_M.jpg, W_27899_70_hippie_M.jpg, W_29658_90_hiphop_M.jpg, W_33259_70_hippie_M.jpg"
64310,"W_00935_10_sportivecasual_M.jpg, W_02852_10_sportivecasual_M.jpg, W_04692_90_hiphop_M.jpg, W_05880_60_mods_M.jpg, W_12812_50_ivy_M.jpg, W_15306_80_bold_M.jpg, W_16007_70_hippie_M.jpg, W_25660_10_sportivecasual_M.jpg, W_25934_90_hiphop_M.jpg, W_26316_19_normcore_M.jpg, W_26375_70_hippie_M.jpg, W_27840_80_bold_M.jpg, W_30998_19_normcore_M.jpg","W_00041_70_hippie_M.jpg, W_00882_19_normcore_M.jpg, W_01796_00_metrosexual_M.jpg, W_01799_00_metrosexual_M.jpg, W_04237_60_mods_M.jpg, W_10848_50_ivy_M.jpg, W_15217_00_metrosexual_M.jpg, W_15740_70_hippie_M.jpg, W_16259_80_bold_M.jpg, W_17158_60_mods_M.jpg, W_17535_70_hippie_M.jpg, W_24122_50_ivy_M.jpg, W_24543_70_hippie_M.jpg, W_24577_80_bold_M.jpg, W_24728_60_mods_M.jpg, W_24768_80_bold_M.jpg, W_24986_90_hiphop_M.jpg, W_25364_19_normcore_M.jpg, W_25380_60_mods_M.jpg, W_25766_00_metrosexual_M.jpg, W_26017_10_sportivecasual_M.jpg, W_26025_10_sportivecasual_M.jpg, W_26499_19_normcore_M.jpg, W_28741_19_normcore_M.jpg, W_28801_19_normcore_M.jpg, W_29046_90_hiphop_M.jpg, W_30559_50_ivy_M.jpg, W_30753_50_ivy_M.jpg, W_31120_90_hiphop_M.jpg, W_31790_00_metrosexual_M.jpg, W_32131_50_ivy_M.jpg, W_32159_19_normcore_M.jpg, W_32233_00_metrosexual_M.jpg, W_32830_80_bold_M.jpg, W_36967_10_sportivecasual_M.jpg",W_25934_90_hiphop_M.jpg,"W_04237_60_mods_M.jpg, W_15217_00_metrosexual_M.jpg, W_15362_60_mods_M.jpg, W_15740_70_hippie_M.jpg, W_24543_70_hippie_M.jpg, W_30559_50_ivy_M.jpg, W_31790_00_metrosexual_M.jpg, W_32233_00_metrosexual_M.jpg"
60173,"W_00152_50_feminine_W.jpg, W_00729_10_sportivecasual_W.jpg, W_01268_19_normcore_W.jpg, W_01380_10_sportivecasual_W.jpg, W_03510_60_minimal_W.jpg, W_03517_19_normcore_W.jpg, W_03944_90_hiphop_W.jpg, W_05458_10_athleisure_W.jpg, W_06015_80_powersuit_W.jpg, W_07883_19_normcore_W.jpg, W_07964_70_military_W.jpg, W_08869_10_sportivecasual_W.jpg, W_09076_19_normcore_W.jpg, W_09079_60_popart_W.jpg, W_09410_90_lingerie_W.jpg, W_09499_19_normcore_W.jpg, W_09755_00_ecology_W.jpg, W_10577_70_disco_W.jpg, W_11220_50_feminine_W.jpg, W_11985_00_oriental_W.jpg, W_12994_19_genderless_W.jpg, W_13305_80_powersuit_W.jpg, W_13363_80_powersuit_W.jpg, W_14099_50_classic_W.jpg, W_14216_10_sportivecasual_W.jpg, W_14570_60_minimal_W.jpg, W_18743_19_normcore_W.jpg, W_18986_90_kitsch_W.jpg, W_19433_00_oriental_W.jpg","W_00237_60_popart_W.jpg, W_00351_70_hippie_W.jpg, W_01236_10_sportivecasual_W.jpg, W_01911_70_hippie_W.jpg, W_03996_70_punk_W.jpg, W_04877_00_oriental_W.jpg, W_06402_80_powersuit_W.jpg, W_07408_90_lingerie_W.jpg, W_09094_19_lounge_W.jpg, W_09497_50_feminine_W.jpg, W_10902_90_lingerie_W.jpg, W_13343_50_feminine_W.jpg, W_13376_50_feminine_W.jpg, W_13955_60_minimal_W.jpg, W_14221_80_bodyconscious_W.jpg, W_14299_70_disco_W.jpg, W_14386_80_powersuit_W.jpg, W_18097_90_kitsch_W.jpg, W_19273_00_ecology_W.jpg, W_19553_00_ecology_W.jpg","W_00152_50_feminine_W.jpg, W_06015_80_powersuit_W.jpg, W_14570_60_minimal_W.jpg","W_00351_70_hippie_W.jpg, W_01236_10_sportivecasual_W.jpg, W_14221_80_bodyconscious_W.jpg, W_14299_70_disco_W.jpg, W_18094_60_space_W.jpg"
